voltage_ratio[-],true_position(de=f0 mm),true_position(de=f2 mm),true_position(de=f4 mm),true_position(de=f6 mm),true_position(de=f8 mm),true_position(de=f10 mm)
-0.705009769,non,-0.017857333,-0.035714667,-0.053572,-0.071429333,-0.089286667
-0.702951876,non,-0.0177968,-0.0355936,-0.0533904,-0.0711872,-0.088984
-0.70089028,non,-0.017736267,-0.035472533,-0.0532088,-0.070945067,-0.088681333
-0.698825002,non,-0.017675733,-0.035351467,-0.0530272,-0.070702933,-0.088378667
-0.696756059,non,-0.0176152,-0.0352304,-0.0528456,-0.0704608,-0.088076
-0.694683472,non,-0.017554667,-0.035109333,-0.052664,-0.070218667,-0.087773333
-0.692607258,non,-0.017494133,-0.034988267,-0.0524824,-0.069976533,-0.087470667
-0.690527437,non,-0.0174336,-0.0348672,-0.0523008,-0.0697344,-0.087168
-0.688444027,non,-0.017373067,-0.034746133,-0.0521192,-0.069492267,-0.086865333
-0.686357047,non,-0.017312533,-0.034625067,-0.0519376,-0.069250133,-0.086562667
-0.684266516,non,-0.017252,-0.034504,-0.051756,-0.069008,-0.08626
-0.682172451,non,-0.017191467,-0.034382933,-0.0515744,-0.068765867,-0.085957333
-0.680074872,non,-0.017130933,-0.034261867,-0.0513928,-0.068523733,-0.085654667
-0.677973796,non,-0.0170704,-0.0341408,-0.0512112,-0.0682816,-0.085352
-0.675869242,non,-0.017009867,-0.034019733,-0.0510296,-0.068039467,-0.085049333
-0.673761227,non,-0.016949333,-0.033898667,-0.050848,-0.067797333,-0.084746667
-0.671649769,non,-0.0168888,-0.0337776,-0.0506664,-0.0675552,-0.084444
-0.669534887,non,-0.016828267,-0.033656533,-0.0504848,-0.067313067,-0.084141333
-0.667416599,non,-0.016767733,-0.033535467,-0.0503032,-0.067070933,-0.083838667
-0.665294921,non,-0.0167072,-0.0334144,-0.0501216,-0.0668288,-0.083536
-0.663169871,non,-0.016646667,-0.033293333,-0.04994,-0.066586667,-0.083233333
-0.661041468,non,-0.016586133,-0.033172267,-0.0497584,-0.066344533,-0.082930667
-0.658909728,non,-0.0165256,-0.0330512,-0.0495768,-0.0661024,-0.082628
-0.656774669,non,-0.016465067,-0.032930133,-0.0493952,-0.065860267,-0.082325333
-0.654636308,non,-0.016404533,-0.032809067,-0.0492136,-0.065618133,-0.082022667
